OPERADOR;SERVICIO;INDICATIVO;BLOQUE;MODALIDAD;LOCALIDAD
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2920;497;BASICA;BALNEARIO EL CONDOR
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;266;44993;BASICA;BALDE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;294;44960;BASICA;ÑORQUINCO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;388;450;MPP;SAN SALVADOR DE JUJUY
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;336;4497;MPP;SAN NICOLAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3476;451;MPP;SAN LORENZO (PROV.  SANTA FE)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2394;43;BASICA;TRES LOMAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3406;450;MPP;SAN JORGE (PROV.  SANTA FE)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3458;497;MPP;SAN JOSE DE FELICIANO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2622;497;BASICA;TUNUYAN
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;280;467;CPP;TRELEW
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;280;466;CPP;TRELEW
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;260;44802;BASICA;BARDAS BLANCAS
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3476;450;MPP;SAN LORENZO (PROV.  SANTA FE)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;261;4991;BASICA;UGARTECHE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2622;498;BASICA;TUPUNGATO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2622;48;BASICA;TUPUNGATO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;263;4487;BASICA;PHILIPPS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;260;44892;BASICA;ÑACUÑAN
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2648;44;BASICA;BARREAL
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2948;4965;BASICA;BARRANCAS (PROV.  NEUQUEN)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2948;482;BASICA;BARRANCAS (PROV.  NEUQUEN)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2622;42;BASICA;TUNUYAN
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2226;494;BASICA;URIBELARREA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;236;4496;BASICA;BAIGORRITA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3873;450;MPP;TARTAGAL (PROV.  SALTA)
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3858;492;MPP;TERMAS DE RIO HONDO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3837;474;MPP;TINOGASTA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;236;4493;BASICA;BAIGORRITA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3862;488;MPP;TRANCAS
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2940;4993;BASICA;OJOS DE AGUA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2226;493;BASICA;URIBELARREA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3867;495;MPP;TAFI DEL VALLE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2954;483;BASICA;URIBURU
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2954;493;BASICA;URIBURU
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2923;480;MPP;PIGÜE
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2901;441;BASICA;USHUAIA
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2901;445;BASICA;USHUAIA
TELEFONICA MOVILES ARGENTINA SOCIEDAD ANONIMA;STM;2477;460;MPP;PERGAMINO
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;260;442;BASICA;SAN RAFAEL (PROV. MENDOZA)
TELEFONICA DE ARGENTINA SOCIEDAD ANONIMA;SBT;2314;495;BASICA;URDAMPILLETA
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;385;460;MPP;SANTIAGO DEL ESTERO
TELECOM ARGENTINA SOCIEDAD ANONIMA;STM;3522;450;MPP;SAN FRANCISCO DEL CHAÑAR
