Year,Quarter,Province,Access per 100 households,Access per 100 households [Proyected 2%],Access per 100 households [Previous Quarter],Incremental Percentage
2017,4,Río Negro,49.38,50.37,48.52,1.77
2017,4,Salta,39.8,40.6,39.84,-0.1
2017,4,San Juan,30.3,30.91,32.37,-6.39
2017,4,San Luis,10.59,10.8,15.48,-31.59
2017,4,Santa Cruz,28.91,29.49,33.29,-13.16
2017,4,Santa Fe,61.71,62.94,60.91,1.31
2017,4,Santiago Del Estero,29.13,29.71,35.12,-17.06
2017,4,Tierra Del Fuego,59.89,61.09,65.74,-8.9
2017,4,Tucumán,39.9,40.7,39.7,0.5
2018,1,Buenos Aires,62.63,63.88,51.97,20.51
2018,1,Catamarca,32.79,33.45,14.7,123.06
2018,1,Chaco,30.83,31.45,68.92,-55.27
2018,1,Chubut,53.72,54.79,37.9,41.74
2018,1,Córdoba,63.52,64.79,62.63,1.42
2018,1,Corrientes,32.66,33.31,32.79,-0.4
2018,1,Entre Ríos,48.68,49.65,30.83,57.9
2018,1,Formosa,21.4,21.83,53.72,-60.16
2018,1,Jujuy,23.12,23.58,63.52,-63.6
2018,1,La Pampa,71.75,73.18,32.66,119.69
2018,1,La Rioja,51.44,52.47,48.68,5.67
2018,1,Mendoza,37.07,37.81,21.4,73.22
2018,1,Misiones,30.96,31.58,23.12,33.91
2018,1,Neuquén,61.52,62.75,71.75,-14.26
2018,1,Río Negro,49.82,50.82,51.44,-3.15
2018,1,Salta,39.78,40.58,37.07,7.31
2018,1,San Juan,32.61,33.26,30.96,5.33
2018,1,San Luis,15.15,15.45,61.52,-75.37
2018,1,Santa Cruz,33.55,34.22,49.82,-32.66
2018,1,Santa Fe,62.28,63.53,39.78,56.56
2018,1,Santiago Del Estero,34.99,35.69,32.61,7.3
2018,1,Tierra Del Fuego,65.2,66.5,15.15,330.36
2018,1,Tucumán,41.18,42.0,33.55,22.74
2018,2,Buenos Aires,62.78,64.04,62.63,0.24
2018,2,Catamarca,32.86,33.52,32.79,0.21
2018,2,Chaco,31.25,31.88,30.83,1.36
2018,2,Chubut,54.9,56.0,53.72,2.2
2018,2,Córdoba,63.27,64.54,63.52,-0.39
2018,2,Corrientes,33.81,34.49,32.66,3.52
2018,2,Entre Ríos,49.2,50.18,48.68,1.07
2018,2,Formosa,29.43,30.02,21.4,37.52
2018,2,Jujuy,23.43,23.9,23.12,1.34
2018,2,La Pampa,71.04,72.46,71.75,-0.99
2018,2,La Rioja,50.98,52.0,51.44,-0.89
2018,2,Mendoza,36.97,37.71,37.07,-0.27
2018,2,Misiones,31.63,32.26,30.96,2.16
2018,2,Neuquén,60.24,61.44,61.52,-2.08
2018,2,Río Negro,50.15,51.15,49.82,0.66
2018,2,Salta,39.94,40.74,39.78,0.4
2018,2,San Juan,32.95,33.61,32.61,1.04
2018,2,San Luis,15.15,15.45,15.15,0.0
2018,2,Santa Cruz,33.33,34.0,33.55,-0.66
2018,2,Santa Fe,62.57,63.82,62.28,0.47
2018,2,Santiago Del Estero,35.26,35.97,34.99,0.77
2018,2,Tierra Del Fuego,91.61,93.44,65.2,40.51
2018,2,Tucumán,41.51,42.34,41.18,0.8
2018,3,Buenos Aires,64.44,65.73,62.78,2.64
2018,3,Catamarca,32.92,33.58,32.86,0.18
2018,3,Chaco,32.28,32.93,31.25,3.3
2018,3,Chubut,56.39,57.52,54.9,2.71
2018,3,Córdoba,64.24,65.52,63.27,1.53
2018,3,Corrientes,34.25,34.94,33.81,1.3
2018,3,Entre Ríos,50.22,51.22,49.2,2.07
2018,3,Formosa,29.58,30.17,29.43,0.51
2018,3,Jujuy,23.26,23.73,23.43,-0.73
2018,3,La Pampa,71.75,73.18,71.04,1.0
2018,3,La Rioja,50.73,51.74,50.98,-0.49
2018,3,Mendoza,37.99,38.75,36.97,2.76
2018,3,Misiones,32.1,32.74,31.63,1.49
2018,3,Neuquén,60.49,61.7,60.24,0.42
2018,3,Río Negro,50.54,51.55,50.15,0.78
2018,3,Salta,39.43,40.22,39.94,-1.28
2018,3,San Juan,33.05,33.71,32.95,0.3
2018,3,San Luis,52.35,53.4,15.15,245.54
2018,3,Santa Cruz,32.73,33.38,33.33,-1.8
2018,3,Santa Fe,63.41,64.68,62.57,1.34
2018,3,Santiago Del Estero,36.25,36.98,35.26,2.81
2018,3,Tierra Del Fuego,92.77,94.63,91.61,1.27
2018,3,Tucumán,41.68,42.51,41.51,0.41
2018,4,Buenos Aires,64.6,65.89,64.44,0.25
2018,4,Catamarca,32.23,32.87,32.92,-2.1
2018,4,Chaco,32.59,33.24,32.28,0.96
2018,4,Chubut,42.61,43.46,56.39,-24.44
